composer/composer,bin/compile,xaav,3.56765125625485
composer/composer,bin/compile,Jordi Boggiano,3.86584521037779
composer/composer,bin/composer,Jordi Boggiano,8.41703636601261
composer/composer,bin/fetch-spdx-identifiers,Jordi Boggiano,3.621
composer/composer,bin/fetch-spdx-identifiers,Tom Klingenberg,4.03834545533754
composer/composer,src/bootstrap.php,Jordi Boggiano,4.76599951008052
composer/composer,src/Composer/Autoload/AutoloadGenerator.php,Jordi Boggiano,14.8423694502697
composer/composer,src/Composer/Autoload/ClassLoader.php,Jordi Boggiano,6.77703636601261
composer/composer,src/Composer/Autoload/ClassMapGenerator.php,Jordi Boggiano,7.34374086021731
composer/composer,src/Composer/Cache.php,Jordi Boggiano,6.11184521037779
composer/composer,src/Composer/Command/AboutCommand.php,Henrik BjÃƒÂ¸rnskov,4.27399951008052
composer/composer,src/Composer/Command/ArchiveCommand.php,Nils Adermann,4.83369091067507
composer/composer,src/Composer/Command/ClearCacheCommand.php,David Neilsen,4.82449975504026
composer/composer,src/Composer/Command/Command.php,Ryan Weaver,3.64553851655795
composer/composer,src/Composer/Command/Command.php,Jordi Boggiano,3.86587018514891
composer/composer,src/Composer/Command/ConfigCommand.php,Jordi Boggiano,7.1671510112951
composer/composer,src/Composer/Command/CreateProjectCommand.php,Jordi Boggiano,9.26634447549857
composer/composer,src/Composer/Command/DependsCommand.php,Jordi Boggiano,4.81599951008052
composer/composer,src/Composer/Command/DiagnoseCommand.php,Jordi Boggiano,5.81769091067507
composer/composer,src/Composer/Command/DumpAutoloadCommand.php,Jordi Boggiano,3.31534496541805
composer/composer,src/Composer/Command/DumpAutoloadCommand.php,Robert SchÃƒÂ¶nthal,3.66499902016103
composer/composer,src/Composer/Command/GlobalCommand.php,Jordi Boggiano,4.43799951008052
composer/composer,src/Composer/Command/Helper/DialogHelper.php,Jordi Boggiano,3.39849975504026
composer/composer,src/Composer/Command/Helper/DialogHelper.php,Justin Rainbow,4.20234545533754
composer/composer,src/Composer/Command/HomeCommand.php,Robert SchÃƒÂ¶nthal,4.47187018514891
composer/composer,src/Composer/Command/InitCommand.php,Jordi Boggiano,6.59862107276926
composer/composer,src/Composer/Command/InstallCommand.php,Jordi Boggiano,13.4087153955267
composer/composer,src/Composer/Command/LicensesCommand.php,BenoÃƒÂ®t Merlet,4.34169091067507
composer/composer,src/Composer/Command/RemoveCommand.php,Pierre du Plessis,3.81584521037779
composer/composer,src/Composer/Command/RequireCommand.php,Jordi Boggiano,4.49719066571533
composer/composer,src/Composer/Command/RunScriptCommand.php,Jordi Boggiano,3.44549926512077
composer/composer,src/Composer/Command/RunScriptCommand.php,Fabien Potencier,3.56765125625485
composer/composer,src/Composer/Command/ScriptAliasCommand.php,Jordi Boggiano,4.391
composer/composer,src/Composer/Command/SearchCommand.php,Jordi Boggiano,5.93934496541805
composer/composer,src/Composer/Command/SelfUpdateCommand.php,Jordi Boggiano,5.28336994018917
composer/composer,src/Composer/Command/ShowCommand.php,Jordi Boggiano,8.1511510112951
composer/composer,src/Composer/Command/StatusCommand.php,Tiago Ribeiro,3.59334496541805
composer/composer,src/Composer/Command/StatusCommand.php,Jordi Boggiano,3.70184521037779
composer/composer,src/Composer/Command/UpdateCommand.php,Jordi Boggiano,5.99486969522943
composer/composer,src/Composer/Command/ValidateCommand.php,Jordi Boggiano,5.45636284215325
composer/composer,src/Composer/Compiler.php,Jordi Boggiano,6.26736994018917
composer/composer,src/Composer/Composer.php,Jordi Boggiano,5.61353851655795
composer/composer,src/Composer/Config/ConfigSourceInterface.php,Jordi Boggiano,4.49649975504026
composer/composer,src/Composer/Config/JsonConfigSource.php,Jordi Boggiano,5.12784521037779
composer/composer,src/Composer/Config.php,Jordi Boggiano,9.82536994018917
composer/composer,src/Composer/Console/Application.php,Jordi Boggiano,10.3706460475404
composer/composer,src/Composer/Console/HtmlOutputFormatter.php,Jordi Boggiano,4.33249975504026
composer/composer,src/Composer/DependencyResolver/DebugSolver.php,Nils Adermann,4.555
composer/composer,src/Composer/DependencyResolver/Decisions.php,Nils Adermann,4.66049975504026
composer/composer,src/Composer/DependencyResolver/DefaultPolicy.php,Jordi Boggiano,4.62736994018917
composer/composer,src/Composer/DependencyResolver/DefaultPolicy.php,Nils Adermann,6.08719066571533
composer/composer,src/Composer/DependencyResolver/Operation/InstallOperation.php,Jordi Boggiano,3.59634545533754
composer/composer,src/Composer/DependencyResolver/Operation/InstallOperation.php,everzet,4.20237043010865
composer/composer,src/Composer/DependencyResolver/Operation/MarkAliasInstalledOperation.php,Jordi Boggiano,3.43234545533754
composer/composer,src/Composer/DependencyResolver/Operation/MarkAliasInstalledOperation.php,Nils Adermann,4.03837043010865
composer/composer,src/Composer/DependencyResolver/Operation/MarkAliasUninstalledOperation.php,Jordi Boggiano,3.56249975504026
composer/composer,src/Composer/DependencyResolver/Operation/MarkAliasUninstalledOperation.php,Nils Adermann,3.87437043010865
composer/composer,src/Composer/DependencyResolver/Operation/OperationInterface.php,Jordi Boggiano,3.59634545533754
composer/composer,src/Composer/DependencyResolver/Operation/OperationInterface.php,everzet,4.20237043010865
composer/composer,src/Composer/DependencyResolver/Operation/SolverOperation.php,Jordi Boggiano,3.56249975504026
composer/composer,src/Composer/DependencyResolver/Operation/SolverOperation.php,everzet,4.10999951008051
composer/composer,src/Composer/DependencyResolver/Operation/UninstallOperation.php,Jordi Boggiano,3.59634545533754
composer/composer,src/Composer/DependencyResolver/Operation/UninstallOperation.php,everzet,4.20237043010865
composer/composer,src/Composer/DependencyResolver/Operation/UpdateOperation.php,Jordi Boggiano,3.76034545533754
composer/composer,src/Composer/DependencyResolver/Operation/UpdateOperation.php,everzet,4.14384521037779
