fzaninotto/Faker,Makefile,Graham Campbell,3.457
fzaninotto/Faker,Makefile,David Stensland,4.16849975504026
fzaninotto/Faker,src/autoload.php,yohang,4.10999951008051
fzaninotto/Faker,src/Faker/Calculator/Luhn.php,Francois Zaninotto,4.883
fzaninotto/Faker,src/Faker/DefaultGenerator.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/DefaultGenerator.php,Joshua Jabbour,4.16849975504026
fzaninotto/Faker,src/Faker/Documentor.php,Francois Zaninotto,6.17034545533754
fzaninotto/Faker,src/Faker/Factory.php,Francois Zaninotto,5.45587018514891
fzaninotto/Faker,src/Faker/Generator.php,Francois Zaninotto,4.59383508768757
fzaninotto/Faker,src/Faker/Guesser/Name.php,Francois Zaninotto,4.53034545533754
fzaninotto/Faker,src/Faker/ORM/CakePHP/ColumnTypeGuesser.php,Jad Bitar,4.719
fzaninotto/Faker,src/Faker/ORM/CakePHP/EntityPopulator.php,Jad Bitar,4.555
fzaninotto/Faker,src/Faker/ORM/CakePHP/Populator.php,Jad Bitar,4.555
fzaninotto/Faker,src/Faker/ORM/Doctrine/ColumnTypeGuesser.php,Benjamin Eberlei,3.87437043010865
fzaninotto/Faker,src/Faker/ORM/Doctrine/EntityPopulator.php,Francois Zaninotto,3.40771588544619
fzaninotto/Faker,src/Faker/ORM/Doctrine/EntityPopulator.php,Benjamin Eberlei,3.95519066571533
fzaninotto/Faker,src/Faker/ORM/Doctrine/Populator.php,Benjamin Eberlei,3.88749926512077
fzaninotto/Faker,src/Faker/ORM/Mandango/ColumnTypeGuesser.php,pablodip,3.87437043010865
fzaninotto/Faker,src/Faker/ORM/Mandango/EntityPopulator.php,David Stensland,3.39849975504026
fzaninotto/Faker,src/Faker/ORM/Mandango/EntityPopulator.php,pablodip,3.94599951008052
fzaninotto/Faker,src/Faker/ORM/Mandango/Populator.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/ORM/Mandango/Populator.php,pablodip,4.16849975504026
fzaninotto/Faker,src/Faker/ORM/Propel/ColumnTypeGuesser.php,Francois Zaninotto,4.60199951008051
fzaninotto/Faker,src/Faker/ORM/Propel/EntityPopulator.php,Francois Zaninotto,5.78384521037779
fzaninotto/Faker,src/Faker/ORM/Propel/Populator.php,Francois Zaninotto,4.53037043010865
fzaninotto/Faker,src/Faker/Provider/Address.php,Francois Zaninotto,5.03549926512077
fzaninotto/Faker,src/Faker/Provider/ar_JO/Address.php,zaid-86,5.15249975504026
fzaninotto/Faker,src/Faker/Provider/ar_JO/Company.php,zaid-86,4.883
fzaninotto/Faker,src/Faker/Provider/ar_JO/Internet.php,zaid-86,4.555
fzaninotto/Faker,src/Faker/Provider/ar_JO/Person.php,zaid-86,4.98849975504026
fzaninotto/Faker,src/Faker/Provider/ar_JO/Text.php,zaid-86,5.211
fzaninotto/Faker,src/Faker/Provider/at_AT/Payment.php,Ronan Guilloux,4.391
fzaninotto/Faker,src/Faker/Provider/Barcode.php,John Was,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/Base.php,Francois Zaninotto,9.11084472045831
fzaninotto/Faker,src/Faker/Provider/be_BE/Payment.php,Ronan Guilloux,4.391
fzaninotto/Faker,src/Faker/Provider/bg_BG/Internet.php,Kiril Angov,3.72349926512077
fzaninotto/Faker,src/Faker/Provider/bg_BG/Payment.php,John Was,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/bg_BG/Person.php,Kiril Angov,3.72349926512077
fzaninotto/Faker,src/Faker/Provider/bg_BG/Person.php,Francois Zaninotto,3.76034545533754
fzaninotto/Faker,src/Faker/Provider/bg_BG/PhoneNumber.php,Francois Zaninotto,3.621
fzaninotto/Faker,src/Faker/Provider/bg_BG/PhoneNumber.php,Kiril Angov,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/Biased.php,Tim DÃƒÂ¼sterhus,4.555
fzaninotto/Faker,src/Faker/Provider/bn_BD/Address.php,Abu Ashraf Masnun,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/bn_BD/Company.php,Abu Ashraf Masnun,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/bn_BD/Person.php,Abu Ashraf Masnun,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/bn_BD/PhoneNumber.php,Abu Ashraf Masnun,4.49649975504026
fzaninotto/Faker,src/Faker/Provider/bn_BD/Utils.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/bn_BD/Utils.php,Abu Ashraf Masnun,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/Color.php,lsv,4.69437043010865
fzaninotto/Faker,src/Faker/Provider/Company.php,John Was,4.17769091067507
fzaninotto/Faker,src/Faker/Provider/Company.php,Francois Zaninotto,4.79984521037779
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Address.php,Mikulas,4.391
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Company.php,Mikulas,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Company.php,John Was,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/cs_CZ/DateTime.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/cs_CZ/DateTime.php,Mikulas,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Internet.php,TomÃƒÂ¡Ã…Â¡ Klapka,3.76636284215324
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Payment.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Payment.php,Mikulas,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Payment.php,John Was,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Person.php,Francois Zaninotto,3.43237043010865
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Person.php,TomÃƒÂ¡Ã…Â¡ Klapka,3.68569091067507
fzaninotto/Faker,src/Faker/Provider/cs_CZ/PhoneNumber.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/cs_CZ/PhoneNumber.php,TomÃƒÂ¡Ã…Â¡ Klapka,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Text.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/cs_CZ/Text.php,Mikulas,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/da_DK/Address.php,toin0u,4.49649975504026
fzaninotto/Faker,src/Faker/Provider/da_DK/Company.php,John Was,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/da_DK/Company.php,toin0u,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/da_DK/Internet.php,toin0u,4.03837043010865
fzaninotto/Faker,src/Faker/Provider/da_DK/Payment.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/da_DK/Payment.php,John Was,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/da_DK/Person.php,toin0u,4.10999951008051
fzaninotto/Faker,src/Faker/Provider/da_DK/PhoneNumber.php,toin0u,4.391
fzaninotto/Faker,src/Faker/Provider/DateTime.php,Francois Zaninotto,4.87149926512077
fzaninotto/Faker,src/Faker/Provider/de_AT/Address.php,David Herrmann,4.03834545533754
fzaninotto/Faker,src/Faker/Provider/de_AT/Company.php,John Was,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/de_AT/Company.php,Bernhard Essl,4.33249975504026
fzaninotto/Faker,src/Faker/Provider/de_AT/Internet.php,Francois Zaninotto,3.457
fzaninotto/Faker,src/Faker/Provider/de_AT/Internet.php,Bernhard Essl,4.16849975504026
fzaninotto/Faker,src/Faker/Provider/de_AT/Payment.php,John Was,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/de_AT/Payment.php,Bernhard Essl,4.20234545533754
fzaninotto/Faker,src/Faker/Provider/de_AT/Person.php,Francois Zaninotto,3.39849975504026
fzaninotto/Faker,src/Faker/Provider/de_AT/Person.php,David Herrmann,3.94599951008052
fzaninotto/Faker,src/Faker/Provider/de_AT/PhoneNumber.php,Bernhard Essl,4.391
fzaninotto/Faker,src/Faker/Provider/de_DE/Address.php,pdaether,3.94599951008052
