moment/moment,ender.js,Rod Vagg,4.391
moment/moment,Gruntfile.js,Igor Lima,4.64253629574977
moment/moment,Gruntfile.js,Tim Wood,5.06118054302511
moment/moment,Gruntfile.js,Iskren Chernev,5.66510261985107
moment/moment,locale/af.js,Werner Mollentze,3.84969091067507
moment/moment,locale/af.js,Iskren Chernev,4.08834545533754
moment/moment,locale/ar.js,Iskren Chernev,3.4298625971935
moment/moment,locale/ar.js,Abdel Said,3.79119066571533
moment/moment,locale/ar-ma.js,Abdel Said,3.92134496541805
moment/moment,locale/ar-sa.js,Suhail Alkowaileet,3.68569091067507
moment/moment,locale/ar-sa.js,Iskren Chernev,3.92434545533754
moment/moment,locale/ar-tn.js,Nader Toukabri,4.391
moment/moment,locale/az.js,Pasha L. Topchiyev (Asus G75VX),3.65187018514891
moment/moment,locale/az.js,Iskren Chernev,4.08834545533754
moment/moment,locale/be.js,Iskren Chernev,3.99599951008052
moment/moment,locale/be.js,Menelion ElensÃƒÂºle (Andre Polykanine),4.01369091067507
moment/moment,locale/bg.js,Tim Wood,3.34327561743172
moment/moment,locale/bg.js,kraz,3.50099902016103
moment/moment,locale/bg.js,Iskren Chernev,3.73569091067507
moment/moment,locale/bn.js,kaushik gandhi,3.68569091067507
moment/moment,locale/bn.js,Iskren Chernev,3.92434545533754
moment/moment,locale/bo.js,vajradog,3.84969091067507
moment/moment,locale/bo.js,Iskren Chernev,4.08834545533754
moment/moment,locale/br.js,jbleduigou,4.96387018514891
moment/moment,locale/bs.js,Nedim Cholich,3.59334496541805
moment/moment,locale/bs.js,Iskren Chernev,3.92437043010865
moment/moment,locale/ca.js,Tim Wood,4.6918625971935
moment/moment,locale/cs.js,Petr Bela,3.79119066571533
moment/moment,locale/cv.js,Tim Wood,3.61765125625485
moment/moment,locale/cv.js,Anatoly Mironov,3.97353851655795
moment/moment,locale/cy.js,Iskren Chernev,3.53784521037779
moment/moment,locale/cy.js,Robert Allen,3.81587018514891
moment/moment,locale/da.js,ulrik nielsen,3.48536235223376
moment/moment,locale/da.js,Tim Wood,3.98783508768757
moment/moment,locale/de-at.js,Iskren Chernev,3.66799951008052
moment/moment,locale/de-at.js,MadMG,3.68569091067507
moment/moment,locale/de.js,Luchs,3.32136235223376
moment/moment,locale/de.js,Tim Wood,3.82383508768757
moment/moment,locale/el.js,Iskren Chernev,3.57169091067507
moment/moment,locale/el.js,Aggelos Karalias,3.7078625971935
moment/moment,locale/en-au.js,Jared Morse,3.65187018514891
moment/moment,locale/en-au.js,Iskren Chernev,4.08834545533754
moment/moment,locale/en-ca.js,Tim Wood,3.31534496541805
moment/moment,locale/en-ca.js,Iskren Chernev,3.50727561743172
moment/moment,locale/en-ca.js,Jonathan Abourbih,3.66499902016103
moment/moment,locale/en-gb.js,Iskren Chernev,3.29970829749078
moment/moment,locale/en-gb.js,Chris Gedrim,3.33303636601261
moment/moment,locale/en-gb.js,Tim Wood,4.02353851655795
moment/moment,locale/eo.js,Colin Dean,3.68571588544619
moment/moment,locale/eo.js,Iskren Chernev,3.73569091067507
moment/moment,locale/es.js,Iskren Chernev,3.46370829749078
moment/moment,locale/es.js,Julio NapurÃƒÂ­,3.49703636601261
moment/moment,locale/es.js,Tim Wood,3.82383508768757
moment/moment,locale/et.js,Iskren Chernev,3.37387018514891
moment/moment,locale/et.js,Tim Wood,3.37387018514891
moment/moment,locale/et.js,Henry Kehlmann,3.52171588544619
moment/moment,locale/eu.js,Iskren Chernev,3.40771588544619
moment/moment,locale/eu.js,Eneko Illarramendi,3.41370829749078
moment/moment,locale/eu.js,Tim Wood,3.97134496541805
moment/moment,locale/fa.js,Ebrahim Byagowi,3.56765125625485
moment/moment,locale/fa.js,Iskren Chernev,3.86584521037779
